ID fysisk,ID digital,benämning på data.kb.se,benämning (2) på data.kb.se,weburn pdf,tif master,tif master (2),reginaid
16022128,18036639,"18036639,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036639,"https://data.kb.se/datasets/2014/10/suecia/18036639,1.tif",,004096262
16022167,18036640,"18036640,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036640,"https://data.kb.se/datasets/2014/10/suecia/18036640,1.tif",,004096263
16022190,18036641,"18036641,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036641,"https://data.kb.se/datasets/2014/10/suecia/18036641,1.tif",,004096264
16022200,18036642,"18036642,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036642,"https://data.kb.se/datasets/2014/10/suecia/18036642,1.tif",,004096265
16022212,18036643,"18036643,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036643,"https://data.kb.se/datasets/2014/10/suecia/18036643,1.tif",,004096266
16022222,18036644,"18036644,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036644,"https://data.kb.se/datasets/2014/10/suecia/18036644,1.tif",,004096267
16022234,18036645,"18036645,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036645,"https://data.kb.se/datasets/2014/10/suecia/18036645,1.tif",,004096268
16022227,18036646,"18036646,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036646,"https://data.kb.se/datasets/2014/10/suecia/18036646,1.tif",,004096269
16150091,18036647,"18036647,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036647,"https://data.kb.se/datasets/2014/10/suecia/18036647,1.tif",,004096270
16151240,18036648,"18036648,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036648,"https://data.kb.se/datasets/2014/10/suecia/18036648,1.tif",,004096271
16151612,18036649,"18036649,1.tif","18036649,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036649,"https://data.kb.se/datasets/2014/10/suecia/18036649,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036649,2.tif",004096272
16152119,18036650,"18036650,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036650,"https://data.kb.se/datasets/2014/10/suecia/18036650,1.tif",,004096273
16150950,18036651,"18036651,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036651,"https://data.kb.se/datasets/2014/10/suecia/18036651,1.tif",,004096274
16166403,18036652,"18036652,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036652,"https://data.kb.se/datasets/2014/10/suecia/18036652,1.tif",,004096275
16167394,18036653,"18036653,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036653,"https://data.kb.se/datasets/2014/10/suecia/18036653,1.tif",,004096276
16168157,18036654,"18036654,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036654,"https://data.kb.se/datasets/2014/10/suecia/18036654,1.tif",,004096277
16168229,18036655,"18036655,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036655,"https://data.kb.se/datasets/2014/10/suecia/18036655,1.tif",,004096278
16168282,18036656,"18036656,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036656,"https://data.kb.se/datasets/2014/10/suecia/18036656,1.tif",,004096279
16168345,18036657,"18036657,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036657,"https://data.kb.se/datasets/2014/10/suecia/18036657,1.tif",,004096280
16168528,18036658,"18036658,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036658,"https://data.kb.se/datasets/2014/10/suecia/18036658,1.tif",,004096281
16168900,18036659,"18036659,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036659,"https://data.kb.se/datasets/2014/10/suecia/18036659,1.tif",,004096282
