ID fysisk,ID digital,benämning på data.kb.se,weburn pdf,datakbse pdf,reginaid
8462824,saknas,8462824.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8462824,https://data.kb.se/datasets/2016/05/suecia/8462824.pdf,001925508
8463004,saknas,8463004.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463004,https://data.kb.se/datasets/2016/05/suecia/8463004.pdf,001925528
8463294,saknas,8463294.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463294,https://data.kb.se/datasets/2016/05/suecia/8463294.pdf,001925580
8463285,saknas,8463285.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463285,https://data.kb.se/datasets/2016/05/suecia/8463285.pdf,001925583
8463624,saknas,8463624.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463624,https://data.kb.se/datasets/2016/05/suecia/8463624.pdf,001925623
8463604,saknas,8463604.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463604,https://data.kb.se/datasets/2016/05/suecia/8463604.pdf,001925628
8463561,saknas,8463561.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463561,https://data.kb.se/datasets/2016/05/suecia/8463561.pdf,001925638
8463554,saknas,8463554.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463554,https://data.kb.se/datasets/2016/05/suecia/8463554.pdf,001925640
8463490,saknas,8463490.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463490,https://data.kb.se/datasets/2016/05/suecia/8463490.pdf,001925647
8463475,saknas,8463475.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463475,https://data.kb.se/datasets/2016/05/suecia/8463475.pdf,001925648
8463458,saknas,8463458.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463458,https://data.kb.se/datasets/2016/05/suecia/8463458.pdf,001925653
8463336,saknas,8463336.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463336,https://data.kb.se/datasets/2016/05/suecia/8463336.pdf,001925674
8463313,saknas,8463313.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463313,https://data.kb.se/datasets/2016/05/suecia/8463313.pdf,001925681
8463686,saknas,8463686.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463686,https://data.kb.se/datasets/2016/05/suecia/8463686.pdf,001925709
8463683,saknas,8463683.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463683,https://data.kb.se/datasets/2016/05/suecia/8463683.pdf,001925710
8463674,saknas,8463674.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463674,https://data.kb.se/datasets/2016/05/suecia/8463674.pdf,001925713
8463990,saknas,8463990.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463990,https://data.kb.se/datasets/2016/05/suecia/8463990.pdf,001925720
8463982,saknas,8463982.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463982,https://data.kb.se/datasets/2016/05/suecia/8463982.pdf,001925723
8463944,saknas,8463944.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463944,https://data.kb.se/datasets/2016/05/suecia/8463944.pdf,001925732
8463931,saknas,8463931.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463931,https://data.kb.se/datasets/2016/05/suecia/8463931.pdf,001925733
