LIBRIS_ID	Sigel	Location_Code_852$c	Placering_852$h$l
19367267	Jon	SKON	Fiction (English) OE
20004737	Jon	SKON	Fiction (English) OFAR
17804849	Jon	SKON	Fiction (English) OFFI
4714415	Jon	SKON	Fiction (English) OKRI
10796085	Jon	SKON	Fiction (English) ONDA
9809832	Jon	SKON	Fiction (English) ONDA
22417982	Jon	SKON	Fiction (English) ONDA
22303471	Jon	SKON	Fiction (English) ORAN
22614123	Jon	SKON	Fiction (English) ORTB
11360322	Jon	SKON	Fiction (English) ORWE
14008342	Jon	SKON	Fiction (English) ORWE
4582918	Jon	SKON	Fiction (English) ORWE
571038484	Jon	SKON	Fiction (English) OSBO
13818883	Jon	SKON	Fiction (English) OTSU
14662102	Jon	SKON	Fiction (English) OZEK
17803389	Jon	SKON	Fiction (English) PADD
6200472	Jon	SKON	Fiction (English) PALA
