instance_digital	sameAsIdentifier_digital	localEntityControlNumber_digital	marcDisplayText_digital	instance_physical	sameAsIdentifier_physical	localEntityControlNumber_physical	marcDisplayText_physical
wf7l72b747qkrbl	19732597	7418852	Originalversion:	q71wvt722vp8j7v	7418852	19732597	Digitaliserad version:
wf7l7q374bpmq7s	19724287	7416530	Originalversion:	btmhgb7n11l2102	7416530	19724287	Digitaliserad version:
xg8qrfd82gt5p0q	22549628	9470041	Originalversion:	p60zcr915c3hk2p	9470041	22549628	Digitaliserad version:
dxqzpz9q28z8831	17259832	10406287	Orginalversion	wd66qmr72wcpzv4	10406287	17259832	Digitaliserad version
fzr40j9r4kr0k88	19920203	7845616	Originalversion:	6phdv3vj21lp8mc	7845616	19920203	Digitaliserad version:
m5z9swwz1hb62ms	19601069	7417677	Originalversion:	k2vqplqw2hd4drc	7417677	19601069	Digitaliserad version:
n60bwn804zxcn7n	19647240	7416049	Originalversion:	9slgf9nm0ndk67x	7416049	19647240	Digitaliserad version:
n60c0sz0474q2s0	19732470	7418887	Originalversion:	wd6210f7477rmq6	7418887	19732470	Digitaliserad version:
5phq885h2cr775v	17112315	7264905	Originalversion	5ngb4klh42sx2gd	7264905	17112315	Digitaliserad version
wf7g6d674gmn45g	17258377	10595089	Orginalversion	9sllc1xm1s2kd3z	10595089	17258377	Digitaliserad version
bvnwmtkn19bn1dr	17258330	10596811	Orginalversion	p600rh8137zclr0	10596811	17258330	Digitaliserad version
h1t5ns4t4q1w10w	19601395	7417113	Originalversion:	r82xwsb319k0w0w	7417113	19601395	Digitaliserad version:
4ngsdqgg1zrg0zh	19663214	7418173	Originalversion:	3ld875tf188rj9k	7418173	19663214	Digitaliserad version:
