SAB	Översättning
Aa-m.012	Bibliografi: Östeuropa: författarlexikon
Aa-m.018	Bibliografi: Östeuropa: officiellt tryck
Aa-m.021	Bibliografi: Östeuropa: handskrifter
Aa-m.043	Bibliografi: Östeuropa: referatpublikationer
Aa-ma(p)	Bibliografi: Ryssland: periodika
Aa-ma	Bibliografi: Ryssland
Aa-ma:k	Bibliografi: Ryssland: historia
Aa-ma.01(p)	Bibliografi: Ryssland: nationalbibliografier: periodika
Aa-ma.01	Bibliografi: Ryssland: nationalbibliografier
Aa-ma.011	Bibliografi: Ryssland: periodikaförteckningar
Aa-ma.012	Bibliografi: Ryssland: författarlexikon
Aa-ma.012	Bibliografi: Ryssland: författarlexikon
Aa-ma.014	Bibliografi: Ryssland: anonymlexikon och pseudonymlexikon
Aa-ma.016	Bibliografi: Ryssland: översättningar
Aa-ma.018	Bibliografi: Ryssland: officiellt tryck
Aa-ma.021	Bibliografi: Ryssland: handskrifter
Aa-ma.04	Bibliografi: Ryssland: tidskriftsindex och tidningsindex
Aa-ma.05	Bibliografi: Ryssland: avhandlingar och program
Aa-ma.094(p)	Bibliografi: Ryssland: kartor: periodika
Aa-mad.014	Bibliografi: Ukraina: anonymlexikon och pseudonymlexikon
Aa-mad.016	Bibliografi: Ukraina: översättningar
Aa-mb	Bibliografi: Polen
Aa-mb.01	Bibliografi: Polen: nationalbibliografier
Aa-mb.011	Bibliografi: Polen: periodikaförteckningar
Aa-mb.012	Bibliografi: Polen: författarlexikon
Aa-mb.012	Bibliografi: Polen: författarlexikon
Aa-mb.016	Bibliografi: Polen: översättningar
Aa-mb.022	Bibliografi: Polen: inkunabler
Aa-mb.04(p)	Bibliografi: Polen: tidskriftsindex och tidningsindex: periodika
Aa-mb.05	Bibliografi: Polen: avhandlingar och program
Aa-mc	Bibliografi: Estland, Lettland, Litauen
Aa-mca	Bibliografi: Estland
Aa-mca.01(p)	Bibliografi: Estland: nationalbibliografier: periodika
Aa-mca.01	Bibliografi: Estland: nationalbibliografier
Aa-mca.011	Bibliografi: Estland: periodikaförteckningar
Aa-mca.012	Bibliografi: Estland: författarlexikon
Aa-mca.014	Bibliografi: Estland: anonymlexikon och pseudonymlexikon
Aa-mca.016	Bibliografi: Estland: översättningar
Aa-mca.05(p)	Bibliografi: Estland: avhandlingar och program: periodika
Aa-mca.05	Bibliografi: Estland: avhandlingar och program
Aa-mcb	Bibliografi: Lettland
Aa-mcb.01(p)	Bibliografi: Lettland: nationalbibliografier: periodika
Aa-mcb.01	Bibliografi: Lettland: nationalbibliografier
Aa-mcb.011	Bibliografi: Lettland: periodikaförteckningar
Aa-mcb.04(p)	Bibliografi: Lettland: tidskriftsindex och tidningsindex: periodika
Aa-mcc	Bibliografi: Litauen
Aa-mcc.01(p)	Bibliografi: Litauen: nationalbibliografier: periodika
Aa-mcc.01	Bibliografi: Litauen: nationalbibliografier
Aa-mcc.012	Bibliografi: Litauen: författarlexikon
Aa-mcc.021	Bibliografi: Litauen: handskrifter
Aa-n	Bibliografi: Balkanländerna
Aa-n.018	Bibliografi: Balkanländerna: officiellt tryck
Aa-n.021	Bibliografi: Balkanländerna: handskrifter
Aa-na	Bibliografi: Rumänien
Aa-na.01(p)	Bibliografi: Rumänien: nationalbibliografier: periodika
Aa-na.01	Bibliografi: Rumänien: nationalbibliografier
Aa-na.021	Bibliografi: Rumänien: handskrifter
Aa-na.04(p)	Bibliografi: Rumänien: tidskriftsindex och tidningsindex: periodika
Aa-nb(p)	Bibliografi: Jugoslavien: periodika
Aa-nb	Bibliografi: Jugoslavien
Aa-nb.01	Bibliografi: Jugoslavien: nationalbibliografier
Aa-nb.012	Bibliografi: Jugoslavien: författarlexikon
Aa-nba(p)	Bibliografi: Serbien: periodika
Aa-nba	Bibliografi: Serbien
Aa-nbc(p)/D	Bibliografi: Slovenien: periodika: maskinläsbara datafiler
Aa-nbc	Bibliografi: Slovenien
Aa-nbc.011	Bibliografi: Slovenien: periodikaförteckningar
Aa-nbc.05	Bibliografi: Slovenien: avhandlingar och program
Aa-nc	Bibliografi: Bulgarien
Aa-nc.01	Bibliografi: Bulgarien: nationalbibliografier
Aa-nc.011	Bibliografi: Bulgarien: periodikaförteckningar
Aa-nc.012	Bibliografi: Bulgarien: författarlexikon
Aa-nc.014	Bibliografi: Bulgarien: anonymlexikon och pseudonymlexikon
Aa-nc.018	Bibliografi: Bulgarien: officiellt tryck
Aa-nc.05	Bibliografi: Bulgarien: avhandlingar och program
Aa-nd(p)	Bibliografi: Grekland: periodika
Aa-nd	Bibliografi: Grekland
Aa-nd.01	Bibliografi: Grekland: nationalbibliografier
Aa-nd.021	Bibliografi: Grekland: handskrifter
Aa-nd.21	Bibliografi: Grekland: forntiden: Egypten
Aa-nnbf(p)	Bibliografi: Balkanländerna: periodika
Aa-no.01	Bibliografi: Balkanländerna: nationalbibliografier
Aa-o	Bibliografi: Asien
Aa-o.012	Bibliografi: Asien: författarlexikon
Aa-oa	Bibliografi: Främre Asien
Aa-oa.01	Bibliografi: Främre Asien: nationalbibliografier
Aa-oa.011	Bibliografi: Främre Asien: periodikaförteckningar
Aa-oa.012	Bibliografi: Främre Asien: författarlexikon
Aa-oa.021	Bibliografi: Främre Asien: handskrifter
Aa-oaa	Bibliografi: Turkiet
Aa-oaa.021	Bibliografi: Turkiet: handskrifter
Aa-oaa.05	Bibliografi: Turkiet: avhandlingar och program
Aa-oacc	Bibliografi: Georgien
Aa-oacc.012	Bibliografi: Georgien: författarlexikon
Aa-oae	Bibliografi: Syrien och Libanon
Aa-oae.021	Bibliografi: Syrien och Libanon: handskrifter
Aa-oaf(p)	Bibliografi: Palestina: periodika
Aa-oaf	Bibliografi: Palestina
Aa-oafh.012	Bibliografi: judar: författarlexikon
Aa-oak	Bibliografi: Iran (Persien)
Aa-oak.012	Bibliografi: Iran (Persien): författarlexikon
Aa-ob	Bibliografi: Främre Indien
Aa-ob.011	Bibliografi: Främre Indien: periodikaförteckningar
Aa-ob.012	Bibliografi: Främre Indien: författarlexikon
Aa-oba	Bibliografi: Indien
Aa-oba.01	Bibliografi: Indien: nationalbibliografier
Aa-oba.04	Bibliografi: Indien: tidskriftsindex och tidningsindex
Aa-oba.07	Bibliografi: Indien: förbjudna böcker
Aa-obe	Bibliografi: Sri Lanka
Aa-oc.011	Bibliografi: Bortre Indien: periodikaförteckningar
Aa-occ.011	Bibliografi: Malaysia, Singapore och Brunei: periodikaförteckningar
Aa-od.011	Bibliografi: Ostindiska öarna: periodikaförteckningar
Aa-oea	Bibliografi: Kina
Aa-oea.011	Bibliografi: Kina: periodikaförteckningar
Aa-oea.012	Bibliografi: Kina: författarlexikon
Aa-oea.016	Bibliografi: Kina: översättningar
Aa-oea.04	Bibliografi: Kina: tidskriftsindex och tidningsindex
Aa-oea.061	Bibliografi: Kina: barnböcker och ungdomsböcker
Aa-oea.07	Bibliografi: Kina: förbjudna böcker
Aa-oeaf.012	Bibliografi: Taiwan: författarlexikon
Aa-oeal	Bibliografi: Sinkiang (Xinjiang Uygur)
Aa-oeb	Bibliografi: Korea
Aa-oec	Bibliografi: Japan
Aa-oec.01	Bibliografi: Japan: nationalbibliografier
Aa-oec.012	Bibliografi: Japan: författarlexikon
Aa-oec.012	Bibliografi: Japan: författarlexikon
Aa-oec.016	Bibliografi: Japan: översättningar
Aa-oec.04	Bibliografi: Japan: tidskriftsindex och tidningsindex
Aa-of	Bibliografi: Centralasien
Aa-ofa	Bibliografi: Centralasien
Aa-p(p)	Bibliografi: Afrika: periodika
Aa-p	Bibliografi: Afrika
Aa-p.01	Bibliografi: Afrika: nationalbibliografier
Aa-p.011	Bibliografi: Afrika: periodikaförteckningar
Aa-p.012	Bibliografi: Afrika: författarlexikon
Aa-pa.012	Bibliografi: Nordafrika utom Egypten: författarlexikon
Aa-pac.012	Bibliografi: Tunisien: författarlexikon
Aa-pba	Bibliografi: Egypten
Aa-pba.021	Bibliografi: Egypten: handskrifter
Aa-pcdd	Bibliografi: Nigeria
Aa-pe	Bibliografi: Södra Afrika
Aa-pea	Bibliografi: Sydafrikanska republiken, Namibia, Lesotho, Swaziland
Aa-peaa.01(p)	Bibliografi: Sydafrikanska republiken: nationalbibliografier: periodika
Aa-peaa.01	Bibliografi: Sydafrikanska republiken: nationalbibliografier
Aa-pecb	Bibliografi: Zambia
Aa-ped.05	Bibliografi: Moçambique: avhandlingar och program
Aa-q(p)	Bibliografi: Amerika: periodika
Aa-q.011	Bibliografi: Amerika: periodikaförteckningar
Aa-q.05	Bibliografi: Amerika: avhandlingar och program
Aa-qa(p)	Bibliografi: Förenta staterna: periodika
Aa-qa	Bibliografi: Förenta staterna
Aa-qa	Bibliografi: Förenta staterna
Aa-qa.01(p)	Bibliografi: Förenta staterna: nationalbibliografier: periodika
Aa-qa.01(p)	Bibliografi: Förenta staterna: nationalbibliografier: periodika
Aa-qa.01	Bibliografi: Förenta staterna: nationalbibliografier
Aa-qa.011	Bibliografi: Förenta staterna: periodikaförteckningar
Aa-qa.012	Bibliografi: Förenta staterna: författarlexikon
Aa-qa.014	Bibliografi: Förenta staterna: anonymlexikon och pseudonymlexikon
Aa-qa.016	Bibliografi: Förenta staterna: översättningar
Aa-qa.018(p)	Bibliografi: Förenta staterna: officiellt tryck: periodika
Aa-qa.018	Bibliografi: Förenta staterna: officiellt tryck
Aa-qa.04(p)	Bibliografi: Förenta staterna: tidskriftsindex och tidningsindex: periodika
Aa-qa.04	Bibliografi: Förenta staterna: tidskriftsindex och tidningsindex
Aa-qa.05(p)	Bibliografi: Förenta staterna: avhandlingar och program: periodika
Aa-qa.05	Bibliografi: Förenta staterna: avhandlingar och program
Aa-qa.06	Bibliografi: Förenta staterna: barnböcker och skolböcker
Aa-qa.061	Bibliografi: Förenta staterna: barnböcker och ungdomsböcker
Aa-qb	Bibliografi: Kanada
Aa-qb.011	Bibliografi: Kanada: periodikaförteckningar
Aa-qb.012	Bibliografi: Kanada: författarlexikon
Aa-qb.018	Bibliografi: Kanada: officiellt tryck
Aa-qb.05	Bibliografi: Kanada: avhandlingar och program
Aa-qb.061	Bibliografi: Kanada: barnböcker och ungdomsböcker
Aa-qbf	Bibliografi: Québec
Aa-qc(p)	Bibliografi: Mexiko, Centralamerika och Västindien: periodika
Aa-qc.011	Bibliografi: Mexiko, Centralamerika och Västindien: periodikaförteckningar
Aa-qc.011	Bibliografi: Mexiko, Centralamerika och Västindien: periodikaförteckningar
Aa-qc.012	Bibliografi: Mexiko, Centralamerika och Västindien: författarlexikon
Aa-qc.04(p)	Bibliografi: Mexiko, Centralamerika och Västindien: tidskriftsindex och tidningsindex: periodika
Aa-qc.04	Bibliografi: Mexiko, Centralamerika och Västindien: tidskriftsindex och tidningsindex
Aa-qca.01	Bibliografi: Mexiko: nationalbibliografier
Aa-qca.012	Bibliografi: Mexiko: författarlexikon
Aa-qd(p)	Bibliografi: Sydamerika: periodika
Aa-qd	Bibliografi: Sydamerika
Aa-qd.011	Bibliografi: Sydamerika: periodikaförteckningar
Aa-qd.012	Bibliografi: Sydamerika: författarlexikon
Aa-qd.04(p)	Bibliografi: Sydamerika: tidskriftsindex och tidningsindex: periodika
Aa-qd.04	Bibliografi: Sydamerika: tidskriftsindex och tidningsindex
Aa-qda(p)	Bibliografi: Colombia: periodika
Aa-qda	Bibliografi: Colombia
Aa-qdb	Bibliografi: Venezuela
Aa-qdb.01	Bibliografi: Venezuela: nationalbibliografier
Aa-qdd(p)	Bibliografi: Brasilien: periodika
Aa-qdd	Bibliografi: Brasilien
Aa-qdd.01(p)	Bibliografi: Brasilien: nationalbibliografier: periodika
Aa-qdd.011	Bibliografi: Brasilien: periodikaförteckningar
Aa-qdd.012	Bibliografi: Brasilien: författarlexikon
Aa-qdd.096	Bibliografi: Brasilien: mikroformer
Aa-qdf	Bibliografi: Uruguay
Aa-qdg.04	Bibliografi: Argentina: tidskriftsindex och tidningsindex
Aa-qdg.05	Bibliografi: Argentina: avhandlingar och program
Aa-qdh	Bibliografi: Chile
Aa-qdh.011	Bibliografi: Chile: periodikaförteckningar
Aa-qdh.012	Bibliografi: Chile: författarlexikon
Aa-ra	Bibliografi: Australien
Aa-ra.01(p)	Bibliografi: Australien: nationalbibliografier: periodika
Aa-ra.011	Bibliografi: Australien: periodikaförteckningar
Aa-ra.012	Bibliografi: Australien: författarlexikon
Aa-ra.018	Bibliografi: Australien: officiellt tryck
Aa-rb.01	Bibliografi: Nya Zeeland: nationalbibliografier
Aa-rd(p)	Bibliografi: Nya Guinea: periodika
Aa-rd	Bibliografi: Nya Guinea
Aa-saa.011	Bibliografi: Grönland: periodikaförteckningar
Aa-uc.012	Bibliografi: geografi: författarlexikon
Aaa(p)	Bibliografi: bok- och biblioteksväsen: periodika
Aaa	Bibliografi: bokväsen och biblioteksväsen
Aaa.04	Bibliografi: bok- och biblioteksväsen: tidskriftsindex och tidningsindex
Aaa-e	Bibliografi: bok- och biblioteksväsen: Brittiska öarna (Storbritannien)
Aaa-p	Bibliografi: bok- och biblioteksväsen: Afrika
Aaaa(p)	Bibliografier över bibliografier: periodika
Aaaa	Bibliografier över bibliografier
Aaaa:b	Bibliografier över bibliografier: forskning
Aaaa.01	Bibliografier över bibliografier: nationalbibliografier
Aaaa.01	Bibliografier över bibliografier: nationalbibliografier
Aaaa.011	Bibliografier över bibliografier: periodikaförteckningar
Aaaa.018	Bibliografier över bibliografier: officiellt tryck
Aaaa.02	Bibliografier över bibliografier: handskrifter, inkunabler och rariteter
Aaaa.021	Bibliografier över bibliografier: handskrifter
Aaaa.04	Bibliografier över bibliografier: tidskriftsindex och tidningsindex
Aaaa.05	Bibliografier över bibliografier: avhandlingar och program
Aaaa.08	Bibliografier över bibliografier: elektroniska resurser (maskinläsbara datafiler)
Aaaa-b	Bibliografier över bibliografier: Norden
Aaaa-c	Bibliografier över bibliografier: Sverige
Aaaa-dd	Bibliografier över bibliografier: Finland
Aaaa-e	Bibliografier över bibliografier: Brittiska öarna (Storbritannien)
Aaaa-et	Bibliografier över bibliografier: Irland
Aaaa-fd(p)	Bibliografier över bibliografier: Tjeckien och Slovakien: periodika
Aaaa-fd	Bibliografier över bibliografier: Tjeckien och Slovakien
Aaaa-gb	Bibliografier över bibliografier: Belgien
Aaaa-k	Bibliografier över bibliografier: Spanien
Aaaa-ma(p)	Bibliografier över bibliografier: Ryssland: periodika
Aaaa-ma	Bibliografier över bibliografier: Ryssland
Aaaa-ma.04	Bibliografier över bibliografier: Ryssland: tidskriftsindex och tidningsindex
Aaaa-nb	Bibliografier över bibliografier: Jugoslavien
Aaaa-o	Bibliografier över bibliografier: Asien
Aaaa-oeb	Bibliografier över bibliografier: Korea
Aaaa-oec	Bibliografier över bibliografier: Japan
Aaaa-p	Bibliografier över bibliografier: Afrika
Aaaa-qc	Bibliografier över bibliografier: Mexiko, Centralamerika och Västindien
Aaaa-qd	Bibliografier över bibliografier: Sydamerika
Aaaa-qdd	Bibliografier över bibliografier: Brasilien
Aaaa-ra	Bibliografier över bibliografier: Australien
Aaaabgk	Bibliografier över bibliografier: kulturminnesvård
Aaaabs	Bibliografier över bibliografier: masskommunikation: allmänt
Aaaabub	Bibliografier över bibliografier: television och video
Aaaac	Bibliografier över bibliografier: religion
Aaaaca	Bibliografier över bibliografier: kristendomen: allmänt
Aaaad	Bibliografier över bibliografier: filosofi och psykologi
Aaaadf	Bibliografier över bibliografier: estetik
Aaaado	Bibliografier över bibliografier: psykologi
Aaaaf	Bibliografier över bibliografier: språkvetenskap
Aaaaf.02	Bibliografier över bibliografier: språkvetenskap: ordförråd, lexikologi
Aaaafbn	Bibliografier över bibliografier: nordiska språk
Aaaafe	Bibliografier över bibliografier: engelska
Aaaafh	Bibliografier över bibliografier: romanska språk
Aaaafk	Bibliografier över bibliografier: spanska
Aaaafut	Bibliografier över bibliografier: turkiska språk
Aaaagbn	Bibliografier över bibliografier: nordisk litteraturhistoria: allmän
Aaaage	Bibliografier över bibliografier: litteraturhistoria: engelska
Aaaagj	Bibliografier över bibliografier: litteraturhistoria: franska
Aaaagk	Bibliografier över bibliografier: litteraturhistoria: spanska
Aaaagkq	Bibliografier över bibliografier: litteraturhistoria: spansk-amerikansk
Aaaagma	Bibliografier över bibliografier: litteraturhistoria: ryska
Aaaai	Bibliografier över bibliografier: konst, musik, teater och film
Aaaaib	Bibliografier över bibliografier: konsthistoria
Aaaaij	Bibliografier över bibliografier: musik
Aaaaijb	Bibliografier över bibliografier: musikhistoria
Aaaaj	Bibliografier över bibliografier: arkeologi
Aaaajqc	Bibliografier över bibliografier: arkeologi: Mexiko, Centralamerika och Västindien
Aaaak	Bibliografier över bibliografier: historia
Aaaakk	Bibliografier över bibliografier: historia: Spanien
Aaaaknc	Bibliografier över bibliografier: historia: Bulgarien
Aaaakoaf	Bibliografier över bibliografier: historia: Palestina
Aaaakqa	Bibliografier över bibliografier: historia: Förenta staterna
Aaaakqd	Bibliografier över bibliografier: historia: Sydamerika
Aaaam	Bibliografier över bibliografier: etnografi, socialantropologi och etnologi
Aaaamb	Bibliografier över bibliografier: etnografi, socialantropologi och etnologi
Aaaamqc	Bibliografier över bibliografier: etnografi, socialantropologi och etnologi: Mexiko, Centralamerika och Västindien
Aaaanc	Bibliografier över bibliografier: geografi: Sverige
Aaaangc	Bibliografier över bibliografier: geografi: Luxemburg
Aaaanm	Bibliografier över bibliografier: geografi: Östeuropa
Aaaanma	Bibliografier över bibliografier: geografi: Ryssland
Aaaano	Bibliografier över bibliografier: geografi: Asien
Aaaanoba	Bibliografier över bibliografier: geografi: Indien
Aaaanocb	Bibliografier över bibliografier: geografi: Thailand
Aaaanoda	Bibliografier över bibliografier: geografi: Indonesien
Aaaanodc	Bibliografier över bibliografier: geografi: Filippinerna
Aaaanoea	Bibliografier över bibliografier: geografi: Kina
Aaaanp	Bibliografier över bibliografier: geografi: Afrika
Aaaanqd	Bibliografier över bibliografier: geografi: Sydamerika
Aaaanqdd	Bibliografier över bibliografier: geografi: Brasilien
Aaaanqde	Bibliografier över bibliografier: geografi: Paraguay
Aaaanr	Bibliografier över bibliografier: geografi: Oceanien (Australien, Nya Zeeland, Melanesien, Polynesien, Mikronesien)
Aaaanrc	Bibliografier över bibliografier: geografi: Melanesien, Polynesien och Mikronesien
Aaaao	Bibliografier över bibliografier: samhälls- och rättsvetenskap
Aaaaobb	Bibliografier över bibliografier: fredsfrågor och nedrustningsfrågor
Aaaaohj	Bibliografier över bibliografier: könsrollsfrågor
Aaaaohja	Bibliografier över bibliografier: kvinnofrågor
Aaaarb	Bibliografier över bibliografier: idrott och sport
Aaaav	Bibliografier över bibliografier: medicin
Aaaaxy	Bibliografier över bibliografier: texter till vokal och dramatisk musik
Aaaay	Bibliografier över bibliografier: musikinspelningar
Aaab(k)	Bibliografi: bibliotek: kongresstryck
Aaab(p)	Bibliografi: bibliotek: periodika
Aaab(p)/D	Bibliografi: bibliotek: periodika: maskinläsbara datafiler
Aaab	Bibliografi: bibliotek
Aaab.03	Bibliografi: bibliotek: specialbibliotek
Aaab-b	Bibliografi: bibliotek: Norden
Aaab-c	Bibliografi: bibliotek: Sverige
Aaab-da.05	Bibliografi: bibliotek: Danmark: folkbibliotek
Aaab-e	Bibliografi: bibliotek: Brittiska öarna (Storbritannien)
Aaab-fa	Bibliografi: bibliotek: Tyskland
Aaab-faz	Bibliografi: bibliotek: Tyskland: särskilda orter
Aaab-fd	Bibliografi: bibliotek: Tjeckien och Slovakien
Aaab-k:k.3	Bibliografi: bibliotek: Spanien: historia: medeltiden
Aaab-ma(p)	Bibliografi: bibliotek: Ryssland: periodika
Aaab-ma	Bibliografi: bibliotek: Ryssland
Aaab-oa	Bibliografi: bibliotek: Främre Asien
Aaab-qa	Bibliografi: bibliotek: Förenta staterna
Aaaba	Bibliografi: biblioteksteknik och biblioteksorganisation: allmänt
Aaabc	Bibliografi: bibliotekens organisation, administration och ekonomi
Aaabd.01	Bibliografi: bibliotek: bokbestånd: vetenskapliga bibliotek
Aaabda	Bibliografi: bibliotek: förvärv och urval
Aaabdab	Bibliografi: bibliotek: bytesverksamhet
Aaabdb	Bibliografi: bibliotek: katalogisering
Aaabdc	Bibliografi: bibliotek: klassifikation
Aaabdd	Bibliografi: bibliotek: uppställning och bokvård
Aaabek	Bibliografi: bibliotek: specialsamlingar: handskrifter och rariteter
Aaabf	Bibliografi: biblioteksservice
Aaabfa	Bibliografi: bibliotek: mediedistribution, utlåning
Aaabfb	Bibliografi: bibliotek: informationsservice, referensarbete
Aaabfba	Bibliografi: bibliotek: informationssökning och återvinning
Aaabg	Bibliografi: bibliotekssamarbete
Aaabz	Bibliografi: bibliotek: särskilda bibliotek
Aaac	Bibliografi: arkiv
Aaac-c	Bibliografi: arkiv: Sverige
Aaac-da	Bibliografi: arkiv: Danmark
Aaac-k	Bibliografi: arkiv: Spanien
Aaad	Bibliografi: bokförlag och bokhandel
Aaad-e	Bibliografi: bokförlag och bokhandel: Brittiska öarna (Storbritannien)
Aaad-p	Bibliografi: bokförlag och bokhandel: Afrika
Aaads(p)	Bibliografi: lagerkataloger: periodika
Aaadt(p)	Bibliografi: bokauktionskataloger: periodika
Aaadt-e	Bibliografi: bokauktionskataloger: Brittiska öarna (Storbritannien)
Aaadt-fa	Bibliografi: bokauktionskataloger: Tyskland
Aaae(p)	Bibliografi: bokväsen: periodika
Aaae	Bibliografi: bokväsen
Aaae-dd	Bibliografi: bokväsen: Finland
Aaae-faz	Bibliografi: bokväsen: Tyskland: särskilda orter
Aaaea(p)	Bibliografi: bokhistoria: periodika
