SAB	Översättning
Aa-k(p)	Bibliografi: Spanien: periodika
Aa-k	Bibliografi: Spanien
Aa-k.01(p)	Bibliografi: Spanien: nationalbibliografier: periodika
Aa-k.01	Bibliografi: Spanien: nationalbibliografier
Aa-k.011(p)	Bibliografi: Spanien: periodikaförteckningar: periodika
Aa-k.011	Bibliografi: Spanien: periodikaförteckningar
Aa-k.012	Bibliografi: Spanien: författarlexikon
Aa-k.014	Bibliografi: Spanien: anonymlexikon och pseudonymlexikon
Aa-k.016	Bibliografi: Spanien: översättningar
Aa-k.02	Bibliografi: Spanien: handskrifter, inkunabler och rariteter
Aa-k.021	Bibliografi: Spanien: handskrifter
Aa-k.022	Bibliografi: Spanien: inkunabler
Aa-k.04	Bibliografi: Spanien: tidskriftsindex och tidningsindex
Aa-k.05	Bibliografi: Spanien: avhandlingar och program
Aa-k.094(p)	Bibliografi: Spanien: kartor: periodika
Aa-k.21	Bibliografi: Spanien: forntiden: Egypten
Aa-l(p)	Bibliografi: Portugal: periodika
Aa-l	Bibliografi: Portugal
Aa-l.01(p)	Bibliografi: Portugal: nationalbibliografier: periodika
Aa-l.011(p)	Bibliografi: Portugal: periodikaförteckningar: periodika
Aa-l.011	Bibliografi: Portugal: periodikaförteckningar
Aa-l.012	Bibliografi: Portugal: författarlexikon
Aa-l.016	Bibliografi: Portugal: översättningar
Aa-l.023	Bibliografi: Portugal: rariteter
Aa-m(p)	Bibliografi: Östeuropa: periodika
Aa-m	Bibliografi: Östeuropa
