hubTitle	entity
Falarisbreven. Urval	Falarisbreven. · Urval · eng
Bibeln	Bibeln. · 1676 · dut
Haggadah	Haggada. · Tyska & Hebreiska
Bibeln. Ester	Bibeln. · [Ester. Arameiska]
Gutalagen	Gutalagen. · eng
Yogavāsiṣṭha. Urval	Yogavāsiṣṭha. · Urval · swe
Bibeln. Nya Testamentet	Bible. · [New Testament.] · Douai. · eng
Bibeln	Bibeln. · ita
Bibeln. Johannesevangeliet	Bibeln. · [Johannesevangeliet] · 1804 · iro
Bibeln	Bibeln · 1543 · lat
Den svenska psalmboken	Psalmboken 1762 Gbg.
Bibeln. Lukasevangeliet	Bibeln. · [Lukasevangeliet.] · 1917. · 1920 · swe
Bulletiner	Bulletin 1813-08-24
Bibeln. Psaltaren	Bibeln. · [Psaltaren] · Hebreisk skrift. · 1803 · Hebreiska & Tyska.
Bibeln. Evangelierna	Bibeln. · [Evangelierna.] · Holmes. · 2004. · chr
Midrash rabbah	Midraš rabba. · [Rut. Engelska]
Barnabasbrevet	Barnabasbrevet. · Latin & grekiska
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Spanska (Medelspanska)
Upanishaderna. Maitrayāṇiyopaniṣad	Upanishaderna. · [Maitrayāṇiyopaniṣad.] · Engelska & Sanskrit
Bibeln. Job	Bibeln. · [Job.] · Merx · Hebreiska & Tyska.
Almanackor	Almanack 1785 KVA Åbo.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Zittel. · 1894 · ger
Bibeln. Uppenbarelseboken	Bibeln. · [Uppenbarelseboken.] · enm
Bibeln	Bibeln. · 1626 · hun
Bibeln	Bibeln. · 1846 · pol
testposter	<anonym uniform titel>
Talmud. Urval	Talmud. · Urval. · Hebreiska & tyska.
